tag,cycle,ts,speed,spi_mode,post_reset,no_reset,order,sync,cfg_chips,boot1_ok,boot1_ms,boot1_err,boot2_ok,boot2_ms,boot2_err,rdy1_pre,rdy2_pre,rdy1_post,rdy2_post,pre1_magic,pre1_id,pre1_stage,pre1_cfg,pre1_frames,pre1_ticks,pre1_rx,pre1_err,pre1_drop,pre1_pid,pre1_build,pre2_magic,pre2_id,pre2_stage,pre2_cfg,pre2_frames,pre2_ticks,pre2_rx,pre2_err,pre2_drop,pre2_pid,pre2_build,post1_magic,post1_id,post1_stage,post1_cfg,post1_frames,post1_ticks,post1_rx,post1_err,post1_drop,post1_pid,post1_build,post2_magic,post2_id,post2_stage,post2_cfg,post2_frames,post2_ticks,post2_rx,post2_err,post2_drop,post2_pid,post2_build,rechk1_magic,rechk1_id,rechk1_stage,rechk1_cfg,rechk1_frames,rechk1_ticks,rechk1_rx,rechk1_err,rechk1_drop,rechk1_pid,rechk1_build,rechk2_magic,rechk2_id,rechk2_stage,rechk2_cfg,rechk2_frames,rechk2_ticks,rechk2_rx,rechk2_err,rechk2_drop,rechk2_pid,rechk2_build,cfg_ok,cfg_detail,verdict
base,13,2026-08-30T19:05:49Z,10000000,1,0.5,0,"1,2",0,1,1,495.6,,1,254.1,,0,0,1,0,3585343489,1,5,0,31582,2633,16,0,0,0,539363346,3585343489,2,5,0,30100,2509,16,0,0,0,539363346,3585343489,1,7,1,49743,5648,92,0,0,1,539363346,3585343489,2,5,0,48261,4023,41,0,0,0,539363346,,,,,,,,,,,,,,,,,,,,,,,1,c1:51 writes,OK
base,14,2026-08-30T19:05:58Z,10000000,1,0.5,0,"1,2",0,1,1,495.6,,1,254.0,,0,0,1,0,3585343489,1,5,0,31581,2633,16,0,0,0,539363346,3585343489,2,5,0,30099,2509,16,0,0,0,539363346,3585343489,1,7,1,49813,5660,142,0,0,1,539363346,3585343489,2,5,0,48331,4028,41,0,0,0,539363346,,,,,,,,,,,,,,,,,,,,,,,1,c1:51 writes,OK
base,15,2026-08-30T19:06:08Z,10000000,1,0.5,0,"1,2",0,1,1,495.5,,1,254.0,,0,0,1,0,3585343489,1,5,0,31581,2633,16,0,0,0,539363346,3585343489,2,5,0,30099,2509,16,0,0,0,539363346,3585343489,1,7,1,49743,5648,92,0,0,1,539363346,3585343489,2,5,0,48262,4023,41,0,0,0,539363346,,,,,,,,,,,,,,,,,,,,,,,1,c1:51 writes,OK
base,16,2026-08-30T19:06:17Z,10000000,1,0.5,0,"1,2",0,1,1,495.7,,1,254.1,,0,0,1,0,3585343489,1,5,0,31581,2633,16,0,0,0,539363346,3585343489,2,5,0,30099,2509,16,0,0,0,539363346,3585343489,1,7,1,49741,5648,92,0,0,1,539363346,3585343489,2,5,0,48259,4022,41,0,0,0,539363346,,,,,,,,,,,,,,,,,,,,,,,1,c1:51 writes,OK
base,17,2026-08-30T19:06:26Z,10000000,1,0.5,0,"1,2",0,1,1,495.6,,1,254.1,,0,0,1,0,3585343489,1,5,0,31581,2633,16,0,0,0,539363346,3585343489,2,5,0,30099,2509,16,0,0,0,539363346,3585343489,1,7,1,49741,5648,92,0,0,1,539363346,3585343489,2,5,0,48259,4022,41,0,0,0,539363346,,,,,,,,,,,,,,,,,,,,,,,1,c1:51 writes,OK
base,18,2026-08-30T19:06:36Z,10000000,1,0.5,0,"1,2",0,1,1,495.6,,1,254.1,,0,0,1,0,3585343489,1,5,0,31581,2633,16,0,0,0,539363346,3585343489,2,5,0,30099,2509,16,0,0,0,539363346,3585343489,1,7,1,49742,5648,92,0,0,1,539363346,3585343489,2,5,0,48260,4022,41,0,0,0,539363346,,,,,,,,,,,,,,,,,,,,,,,1,c1:51 writes,OK
base,19,2026-08-30T19:06:45Z,10000000,1,0.5,0,"1,2",0,1,1,495.7,,1,254.1,,0,0,1,0,3585343489,1,5,0,31581,2633,16,0,0,0,539363346,3585343489,2,5,0,30099,2509,16,0,0,0,539363346,3585343489,1,7,1,49742,5648,92,0,0,1,539363346,3585343489,2,5,0,48260,4022,41,0,0,0,539363346,,,,,,,,,,,,,,,,,,,,,,,1,c1:51 writes,OK
base,20,2026-08-30T19:06:54Z,10000000,1,0.5,0,"1,2",0,1,1,495.7,,1,254.2,,0,0,1,0,3585343489,1,5,0,31582,2633,16,0,0,0,539363346,3585343489,2,5,0,30100,2509,16,0,0,0,539363346,3585343489,1,7,1,49743,5648,92,0,0,1,539363346,3585343489,2,5,0,48260,4023,41,0,0,0,539363346,,,,,,,,,,,,,,,,,,,,,,,1,c1:51 writes,OK
base,21,2026-08-30T19:07:04Z,10000000,1,0.5,0,"1,2",0,1,1,495.7,,1,254.1,,0,0,1,0,3585343489,1,5,0,31581,2633,16,0,0,0,539363346,3585343489,2,5,0,30099,2509,16,0,0,0,539363346,3585343489,1,7,1,49744,5648,92,0,0,1,539363346,3585343489,2,5,0,48262,4023,41,0,0,0,539363346,,,,,,,,,,,,,,,,,,,,,,,1,c1:51 writes,OK
base,22,2026-08-30T19:07:13Z,10000000,1,0.5,0,"1,2",0,1,1,495.6,,1,254.1,,0,0,1,0,3585343489,1,5,0,31582,2633,16,0,0,0,539363346,3585343489,2,5,0,30100,2509,16,0,0,0,539363346,3585343489,1,7,1,49743,5648,92,0,0,1,539363346,3585343489,2,5,0,48261,4023,41,0,0,0,539363346,,,,,,,,,,,,,,,,,,,,,,,1,c1:51 writes,OK
